,Date,Country,Cases,Deaths,Recovered,week_number,month,year
0,8/29/2014,Guinea,482,287,195,35,8,2014
1,8/29/2014,Nigeria,15,6,9,35,8,2014
2,8/29/2014,Sierra Leone,935,380,555,35,8,2014
3,8/29/2014,Liberia,322,225,97,35,8,2014
4,9/5/2014,Sierra Leone,1146,443,703,36,9,2014
5,9/5/2014,Nigeria,18,7,11,36,9,2014
6,9/5/2014,Liberia,614,431,183,36,9,2014
7,9/5/2014,Guinea,604,362,242,36,9,2014
8,9/5/2014,Senegal,1,0,1,36,9,2014
9,9/8/2014,Senegal,1,0,1,37,9,2014
10,9/8/2014,Guinea,664,400,264,37,9,2014
11,9/8/2014,Sierra Leone,1234,461,773,37,9,2014
12,9/8/2014,Liberia,634,508,126,37,9,2014
13,9/8/2014,Nigeria,19,7,12,37,9,2014
14,9/12/2014,Guinea,678,403,275,37,9,2014
15,9/12/2014,Sierra Leone,1287,478,809,37,9,2014
16,9/12/2014,Nigeria,19,7,12,37,9,2014
17,9/12/2014,Liberia,654,498,156,37,9,2014
18,9/12/2014,Senegal,1,0,1,37,9,2014
19,9/16/2014,Senegal,1,0,1,38,9,2014
20,9/16/2014,Sierra Leone,1464,514,950,38,9,2014
21,9/16/2014,Guinea,743,429,314,38,9,2014
22,9/16/2014,Nigeria,19,7,12,38,9,2014
23,9/16/2014,Liberia,790,563,227,38,9,2014
24,9/18/2014,Nigeria,19,7,12,38,9,2014
25,9/18/2014,Guinea,750,435,315,38,9,2014
26,9/18/2014,Sierra Leone,1513,517,996,38,9,2014
27,9/18/2014,Liberia,812,631,181,38,9,2014
28,9/18/2014,Senegal,1,0,1,38,9,2014
29,9/22/2014,Nigeria,19,7,12,39,9,2014
30,9/22/2014,Sierra Leone,1640,545,1095,39,9,2014
31,9/22/2014,Liberia,863,670,193,39,9,2014
32,9/22/2014,Senegal,1,0,1,39,9,2014
33,9/22/2014,Guinea,818,465,353,39,9,2014
34,9/24/2014,Liberia,890,671,219,39,9,2014
35,9/24/2014,Guinea,832,468,364,39,9,2014
36,9/24/2014,Nigeria,19,7,12,39,9,2014
37,9/24/2014,Senegal,1,0,1,39,9,2014
38,9/24/2014,Sierra Leone,1745,552,1193,39,9,2014
39,9/26/2014,Sierra Leone,1816,557,1259,39,9,2014
40,9/26/2014,Liberia,914,792,122,39,9,2014
41,9/26/2014,Senegal,1,0,1,39,9,2014
42,9/26/2014,Guinea,876,481,395,39,9,2014
43,9/26/2014,Nigeria,19,7,12,39,9,2014
44,10/1/2014,Guinea,950,535,415,40,10,2014
45,10/1/2014,Senegal,1,0,1,40,10,2014
46,10/1/2014,Nigeria,19,7,12,40,10,2014
47,10/1/2014,Sierra Leone,2076,574,1502,40,10,2014
48,10/1/2014,Liberia,927,890,37,40,10,2014
49,10/3/2014,USA,1,0,1,40,10,2014
50,10/3/2014,Nigeria,19,7,12,40,10,2014
51,10/3/2014,Guinea,977,562,415,40,10,2014
52,10/3/2014,Liberia,931,934,-3,40,10,2014
53,10/3/2014,Sierra Leone,2179,575,1604,40,10,2014
54,10/3/2014,Senegal,1,0,1,40,10,2014
55,10/8/2014,Nigeria,19,7,12,41,10,2014
56,10/8/2014,USA,1,0,1,41,10,2014
57,10/8/2014,Senegal,1,0,1,41,10,2014
58,10/8/2014,Guinea,1044,587,457,41,10,2014
59,10/8/2014,Sierra Leone,2455,725,1730,41,10,2014
60,10/8/2014,Liberia,941,1018,-77,41,10,2014
61,10/10/2014,USA,1,0,1,41,10,2014
62,10/10/2014,Senegal,1,0,1,41,10,2014
63,10/10/2014,Liberia,943,1072,-129,41,10,2014
64,10/10/2014,Nigeria,19,7,12,41,10,2014
65,10/10/2014,Spain,1,0,1,41,10,2014
66,10/10/2014,Guinea,1097,598,499,41,10,2014
67,10/10/2014,Sierra Leone,2593,753,1840,41,10,2014
68,10/15/2014,USA,2,1,1,42,10,2014
69,10/15/2014,Senegal,1,0,1,42,10,2014
70,10/15/2014,Nigeria,19,7,12,42,10,2014
71,10/15/2014,Liberia,950,0,0,42,10,2014
72,10/15/2014,Spain,1,0,1,42,10,2014
73,10/15/2014,Guinea,1184,653,531,42,10,2014
74,10/15/2014,Sierra Leone,2849,926,1923,42,10,2014
75,10/17/2014,Guinea,1217,671,546,42,10,2014
76,10/17/2014,Nigeria,19,7,12,42,10,2014
77,10/17/2014,Spain,1,0,1,42,10,2014
78,10/17/2014,Senegal,1,0,1,42,10,2014
79,10/17/2014,USA,3,1,2,42,10,2014
80,10/17/2014,Liberia,0,0,0,42,10,2014
81,10/17/2014,Sierra Leone,2977,932,2045,42,10,2014
82,10/22/2014,Nigeria,19,7,12,43,10,2014
83,10/22/2014,Spain,1,0,1,43,10,2014
84,10/22/2014,USA,3,1,2,43,10,2014
85,10/22/2014,Sierra Leone,3223,986,2237,43,10,2014
86,10/22/2014,Senegal,1,0,1,43,10,2014
87,10/22/2014,Liberia,965,1241,-276,43,10,2014
88,10/22/2014,Guinea,1289,710,579,43,10,2014
89,10/25/2014,Mali,1,1,0,43,10,2014
90,10/25/2014,USA,4,1,3,43,10,2014
91,10/25/2014,Sierra Leone,3389,1008,2381,43,10,2014
92,10/25/2014,Spain,1,0,1,43,10,2014
93,10/25/2014,Senegal,1,0,1,43,10,2014
94,10/25/2014,Nigeria,19,7,12,43,10,2014
95,10/25/2014,Guinea,1312,732,580,43,10,2014
96,10/25/2014,Liberia,965,1241,-276,43,10,2014
97,10/29/2014,Liberia,2515,0,0,44,10,2014
98,10/29/2014,Mali,1,1,0,44,10,2014
99,10/29/2014,Nigeria,19,7,12,44,10,2014
100,10/29/2014,Senegal,1,0,1,44,10,2014
101,10/29/2014,Spain,1,0,1,44,10,2014
102,10/29/2014,Guinea,1391,0,0,44,10,2014
103,10/29/2014,USA,4,1,3,44,10,2014
104,10/29/2014,Sierra Leone,3700,0,0,44,10,2014
105,10/31/2014,Guinea,1409,0,0,44,10,2014
106,10/31/2014,Nigeria,19,7,12,44,10,2014
107,10/31/2014,Spain,1,0,1,44,10,2014
108,10/31/2014,USA,4,1,3,44,10,2014
109,10/31/2014,Senegal,1,0,1,44,10,2014
110,10/31/2014,Mali,1,1,0,44,10,2014
111,10/31/2014,Liberia,2515,0,0,44,10,2014
112,10/31/2014,Sierra Leone,3778,0,0,44,10,2014
113,11/5/2014,Spain,1,0,1,45,11,2014
114,11/5/2014,USA,4,1,3,45,11,2014
115,11/5/2014,Guinea,1457,837,620,45,11,2014
116,11/5/2014,Liberia,2451,0,0,45,11,2014
117,11/5/2014,Mali,1,1,0,45,11,2014
118,11/5/2014,Nigeria,19,7,12,45,11,2014
119,11/5/2014,Senegal,1,0,1,45,11,2014
120,11/5/2014,Sierra Leone,4057,893,3164,45,11,2014
121,11/7/2014,Nigeria,19,7,12,45,11,2014
122,11/7/2014,Guinea,1479,850,629,45,11,2014
123,11/7/2014,USA,4,1,3,45,11,2014
124,11/7/2014,Senegal,1,0,1,45,11,2014
125,11/7/2014,Liberia,2514,0,0,45,11,2014
126,11/7/2014,Spain,1,0,1,45,11,2014
127,11/7/2014,Mali,1,1,0,45,11,2014
128,11/7/2014,Sierra Leone,4149,921,3228,45,11,2014
129,11/12/2014,Spain,1,0,1,46,11,2014
130,11/12/2014,USA,4,1,3,46,11,2014
131,11/12/2014,Mali,2,2,0,46,11,2014
132,11/12/2014,Nigeria,19,7,12,46,11,2014
133,11/12/2014,Guinea,1612,934,678,46,11,2014
134,11/12/2014,Sierra Leone,4523,960,3563,46,11,2014
135,11/12/2014,Liberia,2553,0,0,46,11,2014
136,11/12/2014,Senegal,1,0,1,46,11,2014
137,11/14/2014,Senegal,1,0,1,46,11,2014
138,11/14/2014,Guinea,1647,958,689,46,11,2014
139,11/14/2014,Spain,1,0,1,46,11,2014
140,11/14/2014,Nigeria,19,7,12,46,11,2014
141,11/14/2014,Mali,3,0,0,46,11,2014
142,11/14/2014,USA,4,1,3,46,11,2014
143,11/14/2014,Liberia,2562,0,0,46,11,2014
144,11/14/2014,Sierra Leone,4683,978,3705,46,11,2014
145,11/19/2014,Liberia,2643,0,0,47,11,2014
146,11/19/2014,Spain,1,0,1,47,11,2014
147,11/19/2014,Sierra Leone,5056,1041,4015,47,11,2014
148,11/19/2014,Senegal,1,0,1,47,11,2014
149,11/19/2014,Nigeria,19,7,12,47,11,2014
150,11/19/2014,Mali,5,4,1,47,11,2014
151,11/19/2014,USA,4,1,3,47,11,2014
152,11/19/2014,Guinea,1698,982,716,47,11,2014
153,11/21/2014,Spain,1,0,1,47,11,2014
154,11/21/2014,Liberia,2669,0,0,47,11,2014
155,11/21/2014,Nigeria,19,7,12,47,11,2014
156,11/21/2014,USA,4,1,3,47,11,2014
157,11/21/2014,Sierra Leone,5152,1058,4094,47,11,2014
158,11/21/2014,Mali,5,5,0,47,11,2014
159,11/21/2014,Senegal,1,0,1,47,11,2014
160,11/21/2014,Guinea,1745,998,747,47,11,2014
161,11/26/2014,Sierra Leone,5441,1189,4252,48,11,2014
162,11/26/2014,Liberia,2727,0,0,48,11,2014
163,11/26/2014,Mali,7,5,2,48,11,2014
164,11/26/2014,USA,4,1,3,48,11,2014
165,11/26/2014,Spain,1,0,1,48,11,2014
166,11/26/2014,Nigeria,19,7,12,48,11,2014
167,11/26/2014,Guinea,1850,1050,800,48,11,2014
168,11/26/2014,Senegal,1,0,1,48,11,2014
169,12/1/2014,Senegal,1,0,1,49,12,2014
170,12/1/2014,Mali,7,0,0,49,12,2014
171,12/1/2014,Spain,1,0,1,49,12,2014
172,12/1/2014,Sierra Leone,5831,1321,4510,49,12,2014
173,12/1/2014,Liberia,2801,0,0,49,12,2014
174,12/1/2014,Nigeria,19,7,12,49,12,2014
175,12/1/2014,Guinea,1921,1102,819,49,12,2014
176,12/1/2014,USA,4,1,3,49,12,2014
177,12/3/2014,Mali,7,0,0,49,12,2014
178,12/3/2014,Spain,1,0,1,49,12,2014
179,12/3/2014,Guinea,1929,1117,812,49,12,2014
180,12/3/2014,Senegal,1,0,1,49,12,2014
181,12/3/2014,Sierra Leone,5978,1374,4604,49,12,2014
