Country,Cases,Deaths,Year,Month,Day
Algeria,5,0,2009,7,6
Antigua and Barbuda,2,0,2009,7,6
Argentina,2485,60,2009,7,6
Australia,5298,10,2009,7,6
Austria,19,0,2009,7,6
Bahamas,7,0,2009,7,6
Bahrain,15,0,2009,7,6
Bangladesh,18,0,2009,7,6
Barbados,12,0,2009,7,6
Belgium,54,0,2009,7,6
"Bermuda, UKOT",1,0,2009,7,6
Bolivia,416,0,2009,7,6
Bosnia and Hezegovina,1,0,2009,7,6
Brazil,737,1,2009,7,6
"British Virgin Islands, UKOT",2,0,2009,7,6
Brunei Darussalam,124,0,2009,7,6
Bulgaria,10,0,2009,7,6
Cambodia,7,0,2009,7,6
Canada,7983,25,2009,7,6
Cap Verde,3,0,2009,7,6
"Cayman Islands, UKOT",14,0,2009,7,6
Chile,7376,14,2009,7,6
China,2040,0,2009,7,6
Colombia,118,2,2009,7,6
Cook Island,1,0,2009,7,6
Costa Rica,277,3,2009,7,6
Cote d'Ivoire,2,0,2009,7,6
Croatia,1,0,2009,7,6
Cuba,85,0,2009,7,6
Cyprus,109,0,2009,7,6
Czech Republic,15,0,2009,7,6
Denmark,66,0,2009,7,6
Dominica,1,0,2009,7,6
Dominican Republic,108,2,2009,7,6
Ecuador,204,0,2009,7,6
Egypt,78,0,2009,7,6
El Salvador,319,0,2009,7,6
Estonia,13,0,2009,7,6
Ethiopia,3,0,2009,7,6
Fiji,2,0,2009,7,6
Finland,47,0,2009,7,6
France,332,0,2009,7,6
Germany,505,0,2009,7,6
Greece,151,0,2009,7,6
Guatemala ,286,2,2009,7,6
Guyana,2,0,2009,7,6
Honduras,123,1,2009,7,6
Hungary,11,0,2009,7,6
Iceland,4,0,2009,7,6
India,129,0,2009,7,6
Indonesia,20,0,2009,7,6
"Iran, Islamic Republic",1,0,2009,7,6
Iraq,12,0,2009,7,6
Ireland,74,0,2009,7,6
Israel,681,0,2009,7,6
Italy,146,0,2009,7,6
Jamaica,32,0,2009,7,6
Japan,1790,0,2009,7,6
Jordan,23,0,2009,7,6
Kenya,15,0,2009,7,6
"Korea, Republic of",202,0,2009,7,6
Kuwait,35,0,2009,7,6
Laos,5,0,2009,7,6
Latvia,1,0,2009,7,6
Lebanon,49,0,2009,7,6
Libya,1,0,2009,7,6
Lithuania,3,0,2009,7,6
Luxembourg,6,0,2009,7,6
Malaysia,112,0,2009,7,6
Malta,24,0,2009,7,6
Mauritius,1,0,2009,7,6
Mexico,10262,119,2009,7,6
Montenegro,10,0,2009,7,6
Morocco,17,0,2009,7,6
Myanmar,1,0,2009,7,6
Nepal,5,0,2009,7,6
Netherlands,155,0,2009,7,6
New Zealand,1059,3,2009,7,6
Nicaragua,321,0,2009,7,6
Norway,41,0,2009,7,6
Oman,4,0,2009,7,6
Palau,1,0,2009,7,6
Panama,417,0,2009,7,6
Papua New Guinea,1,0,2009,7,6
Paraguay,106,1,2009,7,6
Peru,916,0,2009,7,6
Philippines,1709,1,2009,7,6
Poland,25,0,2009,7,6
Portugal,42,0,2009,7,6
Qatar,23,0,2009,7,6
Romania,41,0,2009,7,6
Russia,3,0,2009,7,6
Saint Lucia,1,0,2009,7,6
Samoa,1,0,2009,7,6
Saudi Arabia,114,0,2009,7,6
Serbia,15,0,2009,7,6
Singapore,1055,0,2009,7,6
Slovakia,18,0,2009,7,6
Slovenia,14,0,2009,7,6
South Africa,18,0,2009,7,6
Spain,776,1,2009,7,6
Sri Lanka,19,0,2009,7,6
Suriname,11,0,2009,7,6
Sweden,84,0,2009,7,6
Switzerland,76,0,2009,7,6
Syria,1,0,2009,7,6
Thailand,2076,7,2009,7,6
The former Yugoslav Republic of Macedonia,2,0,2009,7,6
Trinidad and Tobago,65,0,2009,7,6
Tunisia,5,0,2009,7,6
Turkey,40,0,2009,7,6
Uganda,1,0,2009,7,6
Ukraine,1,0,2009,7,6
United Arab Emirates,8,0,2009,7,6
United Kingdom,7464,3,2009,7,6
United States of America,33921,170,2009,7,6
Uruguay,195,4,2009,7,6
Vanuatu,2,0,2009,7,6
Venezuela,206,0,2009,7,6
Viet Nam,181,0,2009,7,6
West Bank and Gaza Strip,60,0,2009,7,6
Yemen,8,0,2009,7,6
Algeria,5,0,2009,7,3
Antigua and Barbuda,2,0,2009,7,3
Argentina,1587,26,2009,7,3
