Datetime,Text
2016-03-22 23:59:52+00:00,Fifth person dies in Guinea Ebola flare-up http://reut.rs/1UD1Y7s
2016-03-22 23:59:37+00:00,Alors que la fin d'#Ebola avait été annoncée en Afrique de l'Ouest par @OMS. L'épidémie revient en #Guinée et fait 5 morts via @itele
2016-03-22 23:58:11+00:00,"@CarlosBasombrio @elcomercio el Ministerio de salud está demostrando eficiencia en casos como éste, ebola o la chikunguya. Aplausos."
2016-03-22 23:57:33+00:00,RT @Reuters: Fifth person dies in Guinea Ebola flare-up http://ln.is/www.reuters.com/arti/ky3tz via @kuliroberts
2016-03-22 23:56:53+00:00,"11/11/14 Margaret post bathroom break ""Where do I put this?"" ""In the garbage"" ""Alright Phil, I'm just asking because of ebola"" #worldofphil"
2016-03-22 23:56:40+00:00,@hardball_chris has such a fixation on panic to criticize PBO. Remember #Ebola? Now #BrusselsAttacks
2016-03-22 23:56:23+00:00,"The whole world is in shit show mode. Terrorists, Ebola, Donald Trump, Cat Lives Matter..."
2016-03-22 23:56:18+00:00,"Les malins malawites, qui ont peur d'Ebola et du Syli guinéens, n'ont plus que leurs pieds pr jouer à Conakry. Confirmation CAF. Be ready!"
2016-03-22 23:55:35+00:00,À quoi a servit donc ce mega concert pour fêter la soi-disante fin d'Ébola ?
2016-03-22 23:55:27+00:00,Guinea sees 5th death from #Ebola http://mobile.reuters.com/article/idUSKCN0WO2T1
2016-03-22 23:54:49+00:00,Ebola Fears Shut a Liberian Border http://ift.tt/1Rip3bX
2016-03-22 23:54:08+00:00,At least 5 dead in Guinea Ebola flare-up: health officials http://f24.my/1ZqbZEw
2016-03-22 23:53:54+00:00,Ebola virus: West Africa vulnerable to new major outbreak as vigilance fades http://bit.ly/1ZqbV7D
2016-03-22 23:53:04+00:00,"""Ebola Fears Shut a Liberian Border"" http://ift.tt/1RybgRV #HealthNews"
2016-03-22 23:51:08+00:00,Ebola Fears Shut a Liberian Border http://dlvr.it/Ks8l2x
2016-03-22 23:51:08+00:00,"Serra Leoa volta a jogar em casa depois do surto do Ebola:March 22, 2016 at 08:40PM http://ift.tt/1S4ANw6"
2016-03-22 23:49:53+00:00,@9NEWS please tell us how effective Ebola funding was? Hospitals where not one patient was seen ? How many us military sent there?
2016-03-22 23:49:05+00:00,"Retweeted Honor Diaries (@HonorDiaries): Ebola ended #FGM in Sierra Leone, but now it's back... http://fb.me/810VxOBr7"
2016-03-22 23:48:33+00:00,encore Ebola ??? #Lrt
2016-03-22 23:48:06+00:00,Liberia schließt Grenze zu Guinea wegen Ebola http://bit.ly/1U6C4ZR
