country,date,week_number,month,year,cases,deaths,recovered,virus_type
 Azerbaijan,2020-02-28,9,2,2020,1.0,0.0,0.0,Coronavirus
Afghanistan,2020-02-24,9,2,2020,1.0,0.0,0.0,Coronavirus
Afghanistan,2020-02-25,9,2,2020,0.0,0.0,0.0,Coronavirus
Afghanistan,2020-02-26,9,2,2020,0.0,0.0,0.0,Coronavirus
Afghanistan,2020-02-27,9,2,2020,0.0,0.0,0.0,Coronavirus
Afghanistan,2020-02-28,9,2,2020,0.0,0.0,0.0,Coronavirus
Afghanistan,2020-02-29,9,2,2020,0.0,0.0,0.0,Coronavirus
Afghanistan,2020-03-01,9,3,2020,0.0,0.0,0.0,Coronavirus
Afghanistan,2020-03-02,10,3,2020,0.0,0.0,0.0,Coronavirus
Afghanistan,2020-03-03,10,3,2020,0.0,0.0,0.0,Coronavirus
Algeria,2020-02-25,9,2,2020,1.0,0.0,0.0,Coronavirus
Algeria,2020-02-26,9,2,2020,0.0,0.0,0.0,Coronavirus
Algeria,2020-02-27,9,2,2020,0.0,0.0,0.0,Coronavirus
Algeria,2020-02-28,9,2,2020,0.0,0.0,0.0,Coronavirus
Algeria,2020-02-29,9,2,2020,0.0,0.0,0.0,Coronavirus
Algeria,2020-03-01,9,3,2020,0.0,0.0,0.0,Coronavirus
Algeria,2020-03-02,10,3,2020,2.0,0.0,0.0,Coronavirus
Algeria,2020-03-03,10,3,2020,2.0,0.0,0.0,Coronavirus
Andorra,2020-03-02,10,3,2020,1.0,0.0,0.0,Coronavirus
Andorra,2020-03-03,10,3,2020,0.0,0.0,0.0,Coronavirus
Argentina,2020-03-03,10,3,2020,1.0,0.0,0.0,Coronavirus
Armenia,2020-03-01,9,3,2020,1.0,0.0,0.0,Coronavirus
Armenia,2020-03-02,10,3,2020,0.0,0.0,0.0,Coronavirus
Armenia,2020-03-03,10,3,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-01-23,4,1,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-01-25,4,1,2020,3.0,0.0,0.0,Coronavirus
Australia,2020-01-26,4,1,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-01-27,5,1,2020,6.0,0.0,0.0,Coronavirus
Australia,2020-01-28,5,1,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-01-29,5,1,2020,2.0,0.0,0.0,Coronavirus
Australia,2020-01-30,5,1,2020,2.0,0.0,2.0,Coronavirus
Australia,2020-01-31,5,1,2020,1.0,0.0,0.0,Coronavirus
Australia,2020-02-01,5,2,2020,3.0,0.0,0.0,Coronavirus
Australia,2020-02-02,5,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-03,6,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-04,6,2,2020,1.0,0.0,0.0,Coronavirus
Australia,2020-02-05,6,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-06,6,2,2020,1.0,0.0,0.0,Coronavirus
Australia,2020-02-07,6,2,2020,1.0,0.0,0.0,Coronavirus
Australia,2020-02-08,6,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-09,6,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-10,7,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-11,7,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-12,7,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-13,7,2,2020,0.0,0.0,6.0,Coronavirus
Australia,2020-02-14,7,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-15,7,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-16,7,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-17,8,2,2020,0.0,0.0,2.0,Coronavirus
Australia,2020-02-18,8,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-19,8,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-20,8,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-21,8,2,2020,4.0,0.0,1.0,Coronavirus
Australia,2020-02-22,8,2,2020,3.0,0.0,0.0,Coronavirus
Australia,2020-02-23,8,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-24,9,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-25,9,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-26,9,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-27,9,2,2020,1.0,0.0,0.0,Coronavirus
Australia,2020-02-28,9,2,2020,0.0,0.0,0.0,Coronavirus
Australia,2020-02-29,9,2,2020,10.0,0.0,0.0,Coronavirus
Australia,2020-03-01,9,3,2020,2.0,1.0,0.0,Coronavirus
Australia,2020-03-02,10,3,2020,3.0,0.0,0.0,Coronavirus
Australia,2020-03-03,10,3,2020,9.0,0.0,0.0,Coronavirus
Austria,2020-02-25,9,2,2020,2.0,0.0,0.0,Coronavirus
Austria,2020-02-26,9,2,2020,2.0,0.0,0.0,Coronavirus
Austria,2020-02-27,9,2,2020,1.0,0.0,0.0,Coronavirus
Austria,2020-02-28,9,2,2020,0.0,0.0,0.0,Coronavirus
Austria,2020-02-29,9,2,2020,6.0,0.0,0.0,Coronavirus
Austria,2020-03-01,9,3,2020,5.0,0.0,0.0,Coronavirus
Austria,2020-03-02,10,3,2020,4.0,0.0,0.0,Coronavirus
Austria,2020-03-03,10,3,2020,3.0,0.0,0.0,Coronavirus
Azerbaijan,2020-03-01,9,3,2020,3.0,0.0,0.0,Coronavirus
Azerbaijan,2020-03-02,10,3,2020,0.0,0.0,0.0,Coronavirus
Azerbaijan,2020-03-03,10,3,2020,0.0,0.0,0.0,Coronavirus
Bahrain,2020-02-24,9,2,2020,1.0,0.0,0.0,Coronavirus
Bahrain,2020-02-25,9,2,2020,22.0,0.0,0.0,Coronavirus
Bahrain,2020-02-26,9,2,2020,10.0,0.0,0.0,Coronavirus
Bahrain,2020-02-27,9,2,2020,0.0,0.0,0.0,Coronavirus
Bahrain,2020-02-28,9,2,2020,3.0,0.0,0.0,Coronavirus
Bahrain,2020-02-29,9,2,2020,5.0,0.0,0.0,Coronavirus
Bahrain,2020-03-01,9,3,2020,6.0,0.0,0.0,Coronavirus
Bahrain,2020-03-02,10,3,2020,2.0,0.0,0.0,Coronavirus
Bahrain,2020-03-03,10,3,2020,0.0,0.0,0.0,Coronavirus
Belarus,2020-02-28,9,2,2020,1.0,0.0,0.0,Coronavirus
Belarus,2020-02-29,9,2,2020,0.0,0.0,0.0,Coronavirus
Belarus,2020-03-01,9,3,2020,0.0,0.0,0.0,Coronavirus
Belarus,2020-03-02,10,3,2020,0.0,0.0,0.0,Coronavirus
Belarus,2020-03-03,10,3,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-04,6,2,2020,1.0,0.0,0.0,Coronavirus
Belgium,2020-02-05,6,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-06,6,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-07,6,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-08,6,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-09,6,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-10,7,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-11,7,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-12,7,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-13,7,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-14,7,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-15,7,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-16,7,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-17,8,2,2020,0.0,0.0,1.0,Coronavirus
Belgium,2020-02-18,8,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-19,8,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-20,8,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-21,8,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-22,8,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-23,8,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-24,9,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-25,9,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-26,9,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-27,9,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-28,9,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-02-29,9,2,2020,0.0,0.0,0.0,Coronavirus
Belgium,2020-03-01,9,3,2020,1.0,0.0,0.0,Coronavirus
Belgium,2020-03-02,10,3,2020,6.0,0.0,0.0,Coronavirus
Belgium,2020-03-03,10,3,2020,5.0,0.0,0.0,Coronavirus
Brazil,2020-01-23,4,1,2020,0.0,0.0,0.0,Coronavirus
Brazil,2020-02-26,9,2,2020,1.0,0.0,0.0,Coronavirus
Brazil,2020-02-27,9,2,2020,0.0,0.0,0.0,Coronavirus
Brazil,2020-02-28,9,2,2020,0.0,0.0,0.0,Coronavirus
Brazil,2020-02-29,9,2,2020,1.0,0.0,0.0,Coronavirus
Brazil,2020-03-01,9,3,2020,0.0,0.0,0.0,Coronavirus
Brazil,2020-03-02,10,3,2020,0.0,0.0,0.0,Coronavirus
Brazil,2020-03-03,10,3,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-01-27,5,1,2020,1.0,0.0,0.0,Coronavirus
Cambodia,2020-01-28,5,1,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-01-29,5,1,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-01-30,5,1,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-01-31,5,1,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-01,5,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-02,5,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-03,6,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-04,6,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-05,6,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-06,6,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-07,6,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-08,6,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-09,6,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-10,7,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-11,7,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-12,7,2,2020,0.0,0.0,1.0,Coronavirus
Cambodia,2020-02-13,7,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-14,7,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-15,7,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-16,7,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-17,8,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-18,8,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-19,8,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-20,8,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-21,8,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-22,8,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-23,8,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-24,9,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-25,9,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-26,9,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-27,9,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-28,9,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-02-29,9,2,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-03-01,9,3,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-03-02,10,3,2020,0.0,0.0,0.0,Coronavirus
Cambodia,2020-03-03,10,3,2020,0.0,0.0,0.0,Coronavirus
Canada,2020-01-26,4,1,2020,1.0,0.0,0.0,Coronavirus
Canada,2020-01-27,5,1,2020,0.0,0.0,0.0,Coronavirus
Canada,2020-01-28,5,1,2020,2.0,0.0,0.0,Coronavirus
Canada,2020-01-29,5,1,2020,2.0,0.0,0.0,Coronavirus
Canada,2020-01-30,5,1,2020,0.0,0.0,0.0,Coronavirus
Canada,2020-01-31,5,1,2020,0.0,0.0,0.0,Coronavirus
Canada,2020-02-01,5,2,2020,1.0,0.0,0.0,Coronavirus
Canada,2020-02-02,5,2,2020,0.0,0.0,0.0,Coronavirus
Canada,2020-02-03,6,2,2020,3.0,0.0,0.0,Coronavirus
Canada,2020-02-04,6,2,2020,0.0,0.0,0.0,Coronavirus
Canada,2020-02-05,6,2,2020,0.0,0.0,0.0,Coronavirus
Canada,2020-02-06,6,2,2020,1.0,0.0,0.0,Coronavirus
Canada,2020-02-07,6,2,2020,2.0,0.0,0.0,Coronavirus
Canada,2020-02-08,6,2,2020,0.0,0.0,0.0,Coronavirus
Canada,2020-02-09,6,2,2020,0.0,0.0,0.0,Coronavirus
