,Date,Country,Cases,Deaths,Recovered,week_number,month,year
0,2014-08-29,Guinea,648.0,430,218,35,8,2014
1,2014-09-05,Guinea,812.0,517,295,36,9,2014
2,2014-09-08,Guinea,862.0,555,307,37,9,2014
3,2014-09-12,Guinea,862.0,557,305,37,9,2014
4,2014-09-16,Guinea,936.0,595,341,38,9,2014
5,2014-09-18,Guinea,942.0,601,341,38,9,2014
6,2014-09-22,Guinea,1008.0,632,376,39,9,2014
7,2014-09-24,Guinea,1022.0,635,387,39,9,2014
8,2014-09-26,Guinea,1074.0,648,426,39,9,2014
9,2014-10-01,Guinea,1157.0,710,447,40,10,2014
10,2014-10-03,Guinea,1199.0,739,460,40,10,2014
11,2014-10-08,Guinea,1298.0,768,530,41,10,2014
12,2014-10-10,Guinea,1350.0,778,572,41,10,2014
13,2014-10-15,Guinea,1472.0,843,629,42,10,2014
14,2014-10-17,Guinea,1519.0,862,657,42,10,2014
15,2014-10-22,Guinea,1540.0,904,636,43,10,2014
16,2014-10-25,Guinea,1553.0,926,627,43,10,2014
17,2014-10-29,Guinea,1610.0,997,613,44,10,2014
18,2014-10-31,Guinea,1667.0,1018,649,44,10,2014
19,2014-11-05,Guinea,1731.0,1041,690,45,11,2014
20,2014-11-07,Guinea,1760.0,1054,706,45,11,2014
21,2014-11-12,Guinea,1878.0,1142,736,46,11,2014
22,2014-11-14,Guinea,1919.0,1166,753,46,11,2014
23,2014-11-19,Guinea,1971.0,1192,779,47,11,2014
24,2014-11-21,Guinea,2047.0,1214,833,47,11,2014
25,2014-11-26,Guinea,2134.0,1260,874,48,11,2014
26,2014-12-01,Guinea,2155.0,1312,843,49,12,2014
27,2014-12-03,Guinea,2164.0,1327,837,49,12,2014
28,2014-12-10,Guinea,2292.0,1428,864,50,12,2014
29,2014-12-15,Guinea,2394.0,1518,876,51,12,2014
30,2014-12-17,Guinea,2416.0,1525,891,51,12,2014
31,2014-12-22,Guinea,2571.0,1586,985,52,12,2014
32,2014-12-23,Guinea,2597.0,1607,990,52,12,2014
33,2014-12-24,Guinea,2597.0,1607,990,52,12,2014
34,2014-12-26,Guinea,2630.0,1654,976,52,12,2014
35,2014-12-29,Guinea,2695.0,1697,998,1,12,2014
36,2014-12-30,Guinea,2706.0,1708,998,1,12,2014
37,2014-12-31,Guinea,2707.0,1709,998,1,12,2014
38,2015-01-02,Guinea,2730.0,1739,991,1,1,2015
39,2015-01-05,Guinea,2769.0,1767,1002,2,1,2015
40,2015-01-06,Guinea,2775.0,1781,994,2,1,2015
41,2015-01-07,Guinea,2775.0,1781,994,2,1,2015
42,2015-01-08,Guinea,2776.0,1786,990,2,1,2015
43,2015-01-09,Guinea,2793.0,1797,996,2,1,2015
44,2015-01-12,Guinea,2799.0,1807,992,3,1,2015
45,2015-01-13,Guinea,2799.0,1807,992,3,1,2015
46,2015-01-14,Guinea,2806.0,1814,992,3,1,2015
47,2015-01-15,Guinea,2817.0,1821,996,3,1,2015
48,2015-01-16,Guinea,2825.0,1829,996,3,1,2015
49,2015-01-19,Guinea,2873.0,1875,998,4,1,2015
50,2015-01-20,Guinea,2873.0,1876,997,4,1,2015
51,2015-01-21,Guinea,2873.0,1876,997,4,1,2015
52,2015-01-22,Guinea,2873.0,1879,994,4,1,2015
53,2015-01-23,Guinea,2873.0,1880,993,4,1,2015
54,2015-01-26,Guinea,2909.0,1906,1003,5,1,2015
55,2015-01-27,Guinea,2917.0,1910,1007,5,1,2015
56,2015-01-28,Guinea,2917.0,1910,1007,5,1,2015
57,2015-01-29,Guinea,2921.0,1911,1010,5,1,2015
58,2015-01-30,Guinea,2921.0,1913,1008,5,1,2015
59,2015-02-02,Guinea,2959.0,1937,1022,6,2,2015
