,Country,Cases,Deaths,Recovered,week_number,month,year
0,Guinea,648.0,430,218,35,8,2014
1,Guinea,812.0,517,295,36,9,2014
2,Guinea,862.0,555,307,37,9,2014
3,Guinea,862.0,557,305,37,9,2014
4,Guinea,936.0,595,341,38,9,2014
5,Guinea,942.0,601,341,38,9,2014
6,Guinea,1008.0,632,376,39,9,2014
7,Guinea,1022.0,635,387,39,9,2014
8,Guinea,1074.0,648,426,39,9,2014
9,Guinea,1157.0,710,447,40,10,2014
10,Guinea,1199.0,739,460,40,10,2014
11,Guinea,1298.0,768,530,41,10,2014
12,Guinea,1350.0,778,572,41,10,2014
13,Guinea,1472.0,843,629,42,10,2014
14,Guinea,1519.0,862,657,42,10,2014
15,Guinea,1540.0,904,636,43,10,2014
16,Guinea,1553.0,926,627,43,10,2014
17,Guinea,1610.0,997,613,44,10,2014
18,Guinea,1667.0,1018,649,44,10,2014
19,Guinea,1731.0,1041,690,45,11,2014
20,Guinea,1760.0,1054,706,45,11,2014
21,Guinea,1878.0,1142,736,46,11,2014
22,Guinea,1919.0,1166,753,46,11,2014
23,Guinea,1971.0,1192,779,47,11,2014
24,Guinea,2047.0,1214,833,47,11,2014
25,Guinea,2134.0,1260,874,48,11,2014
26,Guinea,2155.0,1312,843,49,12,2014
27,Guinea,2164.0,1327,837,49,12,2014
28,Guinea,2292.0,1428,864,50,12,2014
29,Guinea,2394.0,1518,876,51,12,2014
30,Guinea,2416.0,1525,891,51,12,2014
31,Guinea,2571.0,1586,985,52,12,2014
32,Guinea,2597.0,1607,990,52,12,2014
33,Guinea,2597.0,1607,990,52,12,2014
34,Guinea,2630.0,1654,976,52,12,2014
35,Guinea,2695.0,1697,998,1,12,2014
36,Guinea,2706.0,1708,998,1,12,2014
37,Guinea,2707.0,1709,998,1,12,2014
38,Guinea,2730.0,1739,991,1,1,2015
39,Guinea,2769.0,1767,1002,2,1,2015
40,Guinea,2775.0,1781,994,2,1,2015
41,Guinea,2775.0,1781,994,2,1,2015
42,Guinea,2776.0,1786,990,2,1,2015
43,Guinea,2793.0,1797,996,2,1,2015
44,Guinea,2799.0,1807,992,3,1,2015
45,Guinea,2799.0,1807,992,3,1,2015
46,Guinea,2806.0,1814,992,3,1,2015
47,Guinea,2817.0,1821,996,3,1,2015
48,Guinea,2825.0,1829,996,3,1,2015
49,Guinea,2873.0,1875,998,4,1,2015
50,Guinea,2873.0,1876,997,4,1,2015
51,Guinea,2873.0,1876,997,4,1,2015
52,Guinea,2873.0,1879,994,4,1,2015
53,Guinea,2873.0,1880,993,4,1,2015
54,Guinea,2909.0,1906,1003,5,1,2015
55,Guinea,2917.0,1910,1007,5,1,2015
56,Guinea,2917.0,1910,1007,5,1,2015
57,Guinea,2921.0,1911,1010,5,1,2015
58,Guinea,2921.0,1913,1008,5,1,2015
59,Guinea,2959.0,1937,1022,6,2,2015
60,Guinea,2975.0,1944,1031,6,2,2015
61,Guinea,2975.0,1944,1031,6,2,2015
62,Guinea,2986.0,1947,1039,6,2,2015
63,Guinea,2988.0,1957,1031,6,2,2015
64,Guinea,3044.0,1995,1049,7,2,2015
65,Guinea,3044.0,1995,1049,7,2,2015
66,Guinea,3068.0,2018,1050,7,2,2015
67,Guinea,3081.0,2032,1049,7,2,2015
68,Guinea,3101.0,2052,1049,8,2,2015
69,Guinea,3108.0,2057,1051,8,2,2015
70,Guinea,3108.0,2057,1051,8,2,2015
71,Guinea,3115.0,2067,1048,8,2,2015
72,Guinea,3120.0,2072,1048,8,2,2015
73,Guinea,3155.0,2086,1069,9,2,2015
74,Guinea,3155.0,2091,1064,9,2,2015
75,Guinea,3175.0,2101,1074,9,2,2015
76,Guinea,3190.0,2113,1077,9,2,2015
77,Guinea,3205.0,2127,1078,10,3,2015
78,Guinea,3205.0,2127,1078,10,3,2015
79,Guinea,3237.0,2141,1096,10,3,2015
80,Guinea,3248.0,2147,1101,10,3,2015
81,Guinea,3285.0,2170,1115,11,3,2015
82,Guinea,3285.0,2170,1115,11,3,2015
83,Guinea,3330.0,2187,1143,11,3,2015
84,Guinea,3331.0,2192,1139,11,3,2015
85,Guinea,3373.0,2216,1157,12,3,2015
86,Guinea,3389.0,2224,1165,12,3,2015
87,Guinea,3389.0,2224,1165,12,3,2015
88,Guinea,3404.0,2241,1163,12,3,2015
89,Guinea,3420.0,2261,1159,13,3,2015
90,Guinea,3429.0,2263,1166,13,3,2015
91,Guinea,3429.0,2263,1166,13,3,2015
92,Guinea,3459.0,2273,1186,13,3,2015
93,Guinea,3466.0,2276,1190,13,3,2015
94,Guinea,3515.0,2333,1182,15,4,2015
95,Guinea,3515.0,2335,1180,15,4,2015
96,Guinea,3541.0,2342,1199,16,4,2015
97,Guinea,3548.0,2346,1202,16,4,2015
98,Guinea,3548.0,2346,1202,16,4,2015
99,Guinea,3565.0,2348,1217,16,4,2015
100,Guinea,3565.0,2351,1214,16,4,2015
101,Guinea,3565.0,2357,1208,17,4,2015
102,Guinea,3565.0,2358,1207,17,4,2015
103,Guinea,3565.0,2358,1207,17,4,2015
104,Guinea,3568.0,2362,1206,17,4,2015
105,Guinea,3576.0,2365,1211,17,4,2015
106,Guinea,3585.0,2374,1211,18,4,2015
107,Guinea,3587.0,2377,1210,18,4,2015
108,Guinea,3589.0,2381,1208,18,4,2015
109,Guinea,3591.0,2383,1208,18,5,2015
110,Guinea,3591.0,2385,1206,19,5,2015
111,Guinea,3591.0,2386,1205,19,5,2015
