,Date,Country,Cases,Deaths,Recovered,week_number,month,year
0,2009-07-06,Algeria,5,0,5,28,7,2009
1,2009-07-06,Antigua,2,0,2,28,7,2009
2,2009-07-06,Argentina,2485,60,2425,28,7,2009
3,2009-07-06,Australia,5298,10,5288,28,7,2009
4,2009-07-06,Austria,19,0,19,28,7,2009
5,2009-07-06,Bahamas,7,0,7,28,7,2009
6,2009-07-06,Bahrain,15,0,15,28,7,2009
7,2009-07-06,Bangladesh,18,0,18,28,7,2009
8,2009-07-06,Barbados,12,0,12,28,7,2009
9,2009-07-06,Belgium,54,0,54,28,7,2009
10,2009-07-06,Bermuda,1,0,1,28,7,2009
11,2009-07-06,Bolivia,416,0,416,28,7,2009
12,2009-07-06,Bosnia,1,0,1,28,7,2009
13,2009-07-06,Brazil,737,1,736,28,7,2009
14,2009-07-06,BVI,2,0,2,28,7,2009
15,2009-07-06,Brunei Darussalam,124,0,124,28,7,2009
16,2009-07-06,Bulgaria,10,0,10,28,7,2009
17,2009-07-06,Cambodia,7,0,7,28,7,2009
18,2009-07-06,Canada,7983,25,7958,28,7,2009
19,2009-07-06,Cap Verde,3,0,3,28,7,2009
20,2009-07-06,"Cayman Islands, UKOT",14,0,14,28,7,2009
21,2009-07-06,Chile,7376,14,7362,28,7,2009
22,2009-07-06,China,2040,0,2040,28,7,2009
23,2009-07-06,Colombia,118,2,116,28,7,2009
24,2009-07-06,Cook Island,1,0,1,28,7,2009
25,2009-07-06,Costa Rica,277,3,274,28,7,2009
26,2009-07-06,Cote d'Ivoire,2,0,2,28,7,2009
27,2009-07-06,Croatia,1,0,1,28,7,2009
28,2009-07-06,Cuba,85,0,85,28,7,2009
29,2009-07-06,Cyprus,109,0,109,28,7,2009
30,2009-07-06,Czech Republic,15,0,15,28,7,2009
31,2009-07-06,Denmark,66,0,66,28,7,2009
32,2009-07-06,Dominica,1,0,1,28,7,2009
33,2009-07-06,Dominican Republic,108,2,106,28,7,2009
34,2009-07-06,Ecuador,204,0,204,28,7,2009
35,2009-07-06,Egypt,78,0,78,28,7,2009
36,2009-07-06,El Salvador,319,0,319,28,7,2009
37,2009-07-06,Estonia,13,0,13,28,7,2009
38,2009-07-06,Ethiopia,3,0,3,28,7,2009
39,2009-07-06,Fiji,2,0,2,28,7,2009
40,2009-07-06,Finland,47,0,47,28,7,2009
41,2009-07-06,France,332,0,332,28,7,2009
42,2009-07-06,Germany,505,0,505,28,7,2009
43,2009-07-06,Greece,151,0,151,28,7,2009
44,2009-07-06,Guatemala ,286,2,284,28,7,2009
45,2009-07-06,Guyana,2,0,2,28,7,2009
46,2009-07-06,Honduras,123,1,122,28,7,2009
47,2009-07-06,Hungary,11,0,11,28,7,2009
48,2009-07-06,Iceland,4,0,4,28,7,2009
49,2009-07-06,India,129,0,129,28,7,2009
50,2009-07-06,Indonesia,20,0,20,28,7,2009
51,2009-07-06,Iran,1,0,1,28,7,2009
52,2009-07-06,Iraq,12,0,12,28,7,2009
53,2009-07-06,Ireland,74,0,74,28,7,2009
54,2009-07-06,Israel,681,0,681,28,7,2009
55,2009-07-06,Italy,146,0,146,28,7,2009
56,2009-07-06,Jamaica,32,0,32,28,7,2009
57,2009-07-06,Japan,1790,0,1790,28,7,2009
58,2009-07-06,Jordan,23,0,23,28,7,2009
59,2009-07-06,Kenya,15,0,15,28,7,2009
60,2009-07-06,Korea,202,0,202,28,7,2009
61,2009-07-06,Kuwait,35,0,35,28,7,2009
62,2009-07-06,Laos,5,0,5,28,7,2009
63,2009-07-06,Latvia,1,0,1,28,7,2009
64,2009-07-06,Lebanon,49,0,49,28,7,2009
65,2009-07-06,Libya,1,0,1,28,7,2009
66,2009-07-06,Lithuania,3,0,3,28,7,2009
67,2009-07-06,Luxembourg,6,0,6,28,7,2009
68,2009-07-06,Malaysia,112,0,112,28,7,2009
69,2009-07-06,Malta,24,0,24,28,7,2009
70,2009-07-06,Mauritius,1,0,1,28,7,2009
71,2009-07-06,Mexico,10262,119,10143,28,7,2009
72,2009-07-06,Montenegro,10,0,10,28,7,2009
73,2009-07-06,Morocco,17,0,17,28,7,2009
74,2009-07-06,Myanmar,1,0,1,28,7,2009
75,2009-07-06,Nepal,5,0,5,28,7,2009
76,2009-07-06,Netherlands,155,0,155,28,7,2009
77,2009-07-06,New Zealand,1059,3,1056,28,7,2009
78,2009-07-06,Nicaragua,321,0,321,28,7,2009
79,2009-07-06,Norway,41,0,41,28,7,2009
80,2009-07-06,Oman,4,0,4,28,7,2009
81,2009-07-06,Palau,1,0,1,28,7,2009
82,2009-07-06,Panama,417,0,417,28,7,2009
83,2009-07-06,Papua New Guinea,1,0,1,28,7,2009
84,2009-07-06,Paraguay,106,1,105,28,7,2009
85,2009-07-06,Peru,916,0,916,28,7,2009
86,2009-07-06,Philippines,1709,1,1708,28,7,2009
87,2009-07-06,Poland,25,0,25,28,7,2009
88,2009-07-06,Portugal,42,0,42,28,7,2009
89,2009-07-06,Qatar,23,0,23,28,7,2009
90,2009-07-06,Romania,41,0,41,28,7,2009
91,2009-07-06,Russia,3,0,3,28,7,2009
92,2009-07-06,Saint Lucia,1,0,1,28,7,2009
93,2009-07-06,Samoa,1,0,1,28,7,2009
94,2009-07-06,Saudi Arabia,114,0,114,28,7,2009
95,2009-07-06,Serbia,15,0,15,28,7,2009
96,2009-07-06,Singapore,1055,0,1055,28,7,2009
97,2009-07-06,Slovakia,18,0,18,28,7,2009
98,2009-07-06,Slovenia,14,0,14,28,7,2009
99,2009-07-06,South Africa,18,0,18,28,7,2009
100,2009-07-06,Spain,776,1,775,28,7,2009
101,2009-07-06,Sri Lanka,19,0,19,28,7,2009
102,2009-07-06,Suriname,11,0,11,28,7,2009
103,2009-07-06,Sweden,84,0,84,28,7,2009
104,2009-07-06,Switzerland,76,0,76,28,7,2009
105,2009-07-06,Syria,1,0,1,28,7,2009
106,2009-07-06,Thailand,2076,7,2069,28,7,2009
107,2009-07-06,Yugoslav,2,0,2,28,7,2009
108,2009-07-06,Trinidad and Tobago,65,0,65,28,7,2009
109,2009-07-06,Tunisia,5,0,5,28,7,2009
110,2009-07-06,Turkey,40,0,40,28,7,2009
111,2009-07-06,Uganda,1,0,1,28,7,2009
112,2009-07-06,Ukraine,1,0,1,28,7,2009
113,2009-07-06,United Arab Emirates,8,0,8,28,7,2009
114,2009-07-06,United Kingdom,7464,3,7461,28,7,2009
115,2009-07-06,USA,33921,170,33751,28,7,2009
116,2009-07-06,Uruguay,195,4,191,28,7,2009
117,2009-07-06,Vanuatu,2,0,2,28,7,2009
118,2009-07-06,Venezuela,206,0,206,28,7,2009
119,2009-07-06,Viet Nam,181,0,181,28,7,2009
120,2009-07-06,West Bank,60,0,60,28,7,2009
121,2009-07-06,Yemen,8,0,8,28,7,2009
122,2009-07-03,Algeria,5,0,5,27,7,2009
123,2009-07-03,Antigua,2,0,2,27,7,2009
124,2009-07-03,Argentina,1587,26,1561,27,7,2009
125,2009-07-03,Australia,4568,9,4559,27,7,2009
126,2009-07-03,Austria,15,0,15,27,7,2009
127,2009-07-03,Bahamas,6,0,6,27,7,2009
128,2009-07-03,Bahrain,15,0,15,27,7,2009
129,2009-07-03,Bangladesh,12,0,12,27,7,2009
130,2009-07-03,Barbados,12,0,12,27,7,2009
131,2009-07-03,Belgium,49,0,49,27,7,2009
132,2009-07-03,Bermuda,1,0,1,27,7,2009
133,2009-07-03,Bolivia,283,0,283,27,7,2009
134,2009-07-03,Bosnia,1,0,1,27,7,2009
135,2009-07-03,Brazil,737,1,736,27,7,2009
136,2009-07-03,BVI,2,0,2,27,7,2009
137,2009-07-03,Brunei Darussalam,85,0,85,27,7,2009
138,2009-07-03,Bulgaria,10,0,10,27,7,2009
139,2009-07-03,Cambodia,7,0,7,27,7,2009
140,2009-07-03,Canada,7983,25,7958,27,7,2009
141,2009-07-03,Cap Verde,3,0,3,27,7,2009
142,2009-07-03,"Cayman Islands, UKOT",14,0,14,27,7,2009
143,2009-07-03,Chile,7376,14,7362,27,7,2009
144,2009-07-03,China,1814,0,1814,27,7,2009
145,2009-07-03,Colombia,101,2,99,27,7,2009
146,2009-07-03,Costa Rica*,227,2,225,27,7,2009
147,2009-07-03,Cote d'Ivoire,2,0,2,27,7,2009
148,2009-07-03,Cuba,73,0,73,27,7,2009
149,2009-07-03,Cyprus,70,0,70,27,7,2009
150,2009-07-03,Czech Republic,15,0,15,27,7,2009
