Country,Sum,Mean,Median,Variance,STD
Algeria,0,0.00,0.00,0.00,0.00
Antigua,0,0.00,0.00,0.00,0.00
Argentina,175,7.95,0.00,221.19,14.87
Australia,39,1.77,0.00,10.66,3.26
Austria,0,0.00,0.00,0.00,0.00
BVI,0,0.00,0.00,0.00,0.00
Bahamas,0,0.00,0.00,0.00,0.00
Bahrain,0,0.00,0.00,0.00,0.00
Bangladesh,0,0.00,0.00,0.00,0.00
Barbados,0,0.00,0.00,0.00,0.00
Belgium,0,0.00,0.00,0.00,0.00
Bermuda,0,0.00,0.00,0.00,0.00
Bolivia,0,0.00,0.00,0.00,0.00
Bosnia,0,0.00,0.00,0.00,0.00
Brazil,3,0.14,0.00,0.12,0.35
Brunei Darussalam,0,0.00,0.00,0.00,0.00
Bulgaria,0,0.00,0.00,0.00,0.00
Cambodia,0,0.00,0.00,0.00,0.00
Canada,194,8.82,4.00,78.63,8.87
Cap Verde,0,0.00,0.00,0.00,0.00
"Cayman Islands, UKOT",0,0.00,0.00,0.00,0.00
Chile,76,3.45,2.00,20.45,4.52
China,0,0.00,0.00,0.00,0.00
Colombia,19,0.86,1.00,0.79,0.89
Cook Island,0,0.00,0.00,nan,nan
Costa Rica,24,1.14,1.00,0.23,0.48
Costa Rica*,2,2.00,2.00,nan,nan
Cote d'Ivoire,0,0.00,0.00,0.00,0.00
Croatia,0,0.00,0.00,nan,nan
Cuba,0,0.00,0.00,0.00,0.00
Cyprus,0,0.00,0.00,0.00,0.00
Czech Republic,0,0.00,0.00,0.00,0.00
Denmark,0,0.00,0.00,0.00,0.00
Dominica,0,0.00,0.00,0.00,0.00
Dominican Republic,20,1.11,1.00,0.58,0.76
Ecuador,0,0.00,0.00,0.00,0.00
Egypt,0,0.00,0.00,0.00,0.00
El Salvador,0,0.00,0.00,0.00,0.00
Estonia,0,0.00,0.00,0.00,0.00
Ethiopia,0,0.00,0.00,0.00,0.00
Fiji,0,0.00,0.00,0.00,0.00
Finland,0,0.00,0.00,0.00,0.00
France,0,0.00,0.00,0.00,0.00
Germany,0,0.00,0.00,0.00,0.00
Greece,0,0.00,0.00,0.00,0.00
Guatemala,3,0.25,0.00,0.20,0.45
Guatemala ,13,1.30,1.50,0.68,0.82
Guyana,0,0.00,0.00,nan,nan
Honduras,5,0.24,0.00,0.19,0.44
Hungary,0,0.00,0.00,0.00,0.00
Iceland,0,0.00,0.00,0.00,0.00
India,0,0.00,0.00,0.00,0.00
Indonesia,0,0.00,0.00,0.00,0.00
Iran,0,0.00,0.00,0.00,0.00
