virus_type,date,country,cases,deaths,recovered,week_number,month,year
Coronavirus,2020-02-28, Azerbaijan,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-24,Afghanistan,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-25,Afghanistan,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Afghanistan,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Afghanistan,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Afghanistan,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Afghanistan,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Afghanistan,0.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Afghanistan,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Afghanistan,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-02-25,Algeria,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Algeria,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Algeria,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Algeria,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Algeria,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Algeria,0.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Algeria,2.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Algeria,2.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-02,Andorra,1.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Andorra,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Argentina,1.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-01,Armenia,1.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Armenia,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Armenia,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-01-23,Australia,0.0,0.0,0.0,4,1,2020
Coronavirus,2020-01-25,Australia,3.0,0.0,0.0,4,1,2020
Coronavirus,2020-01-26,Australia,0.0,0.0,0.0,4,1,2020
Coronavirus,2020-01-27,Australia,6.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-28,Australia,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-29,Australia,2.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-30,Australia,2.0,0.0,2.0,5,1,2020
Coronavirus,2020-01-31,Australia,1.0,0.0,0.0,5,1,2020
Coronavirus,2020-02-01,Australia,3.0,0.0,0.0,5,2,2020
Coronavirus,2020-02-02,Australia,0.0,0.0,0.0,5,2,2020
Coronavirus,2020-02-03,Australia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-04,Australia,1.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-05,Australia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-06,Australia,1.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-07,Australia,1.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-08,Australia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-09,Australia,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-10,Australia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-11,Australia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-12,Australia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-13,Australia,0.0,0.0,6.0,7,2,2020
Coronavirus,2020-02-14,Australia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-15,Australia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-16,Australia,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-17,Australia,0.0,0.0,2.0,8,2,2020
Coronavirus,2020-02-18,Australia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-19,Australia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-20,Australia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-21,Australia,4.0,0.0,1.0,8,2,2020
Coronavirus,2020-02-22,Australia,3.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-23,Australia,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-24,Australia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-25,Australia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Australia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Australia,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Australia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Australia,10.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Australia,2.0,1.0,0.0,9,3,2020
Coronavirus,2020-03-02,Australia,3.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Australia,9.0,0.0,0.0,10,3,2020
Coronavirus,2020-02-25,Austria,2.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Austria,2.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Austria,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Austria,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Austria,6.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Austria,5.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Austria,4.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Austria,3.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-01,Azerbaijan,3.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Azerbaijan,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Azerbaijan,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-02-24,Bahrain,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-25,Bahrain,22.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Bahrain,10.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Bahrain,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Bahrain,3.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Bahrain,5.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Bahrain,6.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Bahrain,2.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Bahrain,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-02-28,Belarus,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Belarus,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Belarus,0.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Belarus,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Belarus,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-02-04,Belgium,1.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-05,Belgium,0.0,0.0,0.0,6,2,2020
